Sentence,Global start,Global end
Or cooling tubes that route carbon dioxide through the experiment systems and regulate its temperature are out of operation.,0.0,6.2599998
And the program has decided to in the life of the experiment by installing a new upgraded tracker thermal pump system.,6.64,13.225
"That you can see here, it is the UTTS It has four pumps and a resupply of carbon dioxide sufficient enough to last the rest of the space station's lifetime.",13.684999,23.11
It arrived at the International Space Station Earlier this month on Northrop Grumman's Cygnus resupply cargo craft.,23.65,30.015
"We're live in the International Space Station flight control room in Houston, Texas, where planning has been going on as we mentioned for years.",36.219997,43.36
Worldwide.,43.665,44.165
And we've arrived at these carefully choreographed spacewalks scheduled to start around five fifty AM central time this morning.,44.625,51.285
The astronauts are currently suiting up with the help of NASA's astronaut Christina Cook and Rose Cosmos Cosmonaut Oleg Scripotchka.,67.94,74.76
"NASA astronaut, Jessica Mir will be the robotics lead for the cannon arm too today.",75.295006,79.395004
"This will be the fourth spacewalk for Luca Parmatano, who you can see there in the suit with the red stripes, meaning he is EV one, or spacewalker one, He previously has completed fourteen hours and eighteen minutes in three space walks.",83.28,97.105
"And this is the fifth space walk for Andrew Morgan, who has twenty six and fifty seven minutes in four previous spacewalks.",97.325,104.08
"He'll be EV two, spacewalker two, and wearing the suit with no stripes.",104.54,108.72
You can see Jessica Meer now in the picture.,114.145004,116.325005
"She will be the one, assisting with the robotics today in commanding the Canada arm two, which will transport Luca Parmatano to and from the work site.",116.68,124.46
And around the alpha magnetic spectrometer.,124.595,126.935
"You're looking inside the Quest Airlock, which has two parts.",141.915,144.955
The crew is currently in the equipment lock portion of the Quest Airlock.,144.955,149.135
This is where they don their suits do a pre breathing exercise and attach the safer backpack that's kind of like the jet pack on the back of their suits?,149.19499,157.68001
Airlock on one.,158.435,159.655
"With you on one, Christina.",161.235,162.375
And is serial number one zero three one for Drew's Medox?,166.73,170.27
And that's a good number to discuss.,173.05,174.585
"In the back of the picture, you can see NASA Christina Cook.",181.94,184.98
She's in the crew lock.,184.98,186.1
That's the outer outermost part of the Quest airlock.,186.1,189.0
And that's where the astronauts will move for their final communication and suit systems checks with the ground.,189.245,194.625
They'll change their suits to internal battery power and begin the timer for the space talk.,195.245,199.73
Hi.,213.805,214.07
"As I mentioned, the crew has just completed their pre breathing exercise, which consists of two phases.",214.15001,219.69
"In the first, they breathe a hundred percent oxygen while outside of their suits, just through a mask, to begin purging the nitrogen from their bodies.",220.15001,227.63501
"In the second phase, the crew gets into their space suits where you can see them now.",227.93501,231.85
"And conduct something called the in suit light exercise or aisle, where they move their arms and legs ever so slightly, raising their metabolic rate to speed up and get rid of the excess nitrogen.",231.93001,242.91501
The astronauts spend this time prebreathing.,246.015,247.955
To purge that nitrogen from their bloodstream and maintain a one hundred percent oxygen environment.,248.73999,254.04
The crew is under thirty eight minutes.,294.175,296.41498
"For their go to depressurize the, crew lock of the Quest airlock.",296.57498,301.85
"And as we mentioned, the spacewalk will begin once the suits are switched to internal battery power.",311.20502,317.065
"The suits they're wearing are called the extra vehicular mobility unit, also known as the EMU, It's essentially an individual human sized spacecraft, each containing its own portable life support system.",321.50998,332.465
"The suit has six layers and provides atmospheric containment, thermal insulation, cooling, solar radiation protection, and micrometeoroid or orbital debris protection.",333.965,343.12997
"These space suits have a lifetime about of about fifteen years and weigh about three hundred pounds on earth, but, of course, That number is reduced to nearly nothing when in microgravity.",347.60498,356.57
Yeah.,390.32,390.48
Lock on what?,390.48,391.38
With yellow.,392.8,393.54
"Alex, GMT for the pause.",396.625,399.025
The EMC preview clock is ten thirty seven.,399.025,401.26498
Step eleven Copy.,401.26498,403.78
